run,loss,slide,status,items_seen,latest_epoch,recall_source,epoch0_machado,epoch0_quijote_ch1,epoch0_quijote_ch4,epoch0_recall_mean,machado,quijote_ch1,quijote_ch4,recall_mean,standard_source,epoch0_standard_macro,standard_macro,standard_delta,standard_worst_delta
a_lossgrid_1p7b_combined_slide1_jacobian_lens_kl,jacobian_lens_kl,1,complete,12312,24,full checkpoint eval,0.10647927740088757,0.15719073278002751,0.20479415074390217,0.1561547203082724,0.24612988569890273,0.2333313254180809,0.1419034507236743,0.207121553946886,full checkpoint eval,0.5625,0.5166666666666667,-0.006666666666666654,-0.05999999999999994
a_lossgrid_1p7b_combined_slide1_jacobian_lens_kl_anthropic,jacobian_lens_kl,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.24559046120912997,0.18281768529062437,0.15494901095012462,0.1944523858166263,full checkpoint eval,0.5625,0.49666666666666665,-0.026666666666666634,-0.08999999999999997
a_lossgrid_1p7b_combined_slide2_huber,huber,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.24373297082496695,0.1770714555039439,0.14969117503364548,0.19016520045418547,full checkpoint eval,0.5625,0.5166666666666667,-0.006666666666666654,-0.029999999999999916
a_lossgrid_1p7b_combined_slide1_lenskl,lens_kl,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.2166599388215387,0.21844487325964515,0.11445558618433788,0.18318679942184057,full checkpoint eval,0.5625,0.52,-0.0033333333333332993,-0.03999999999999998
a_lossgrid_1p7b_combined_slide2_delta_nmse,delta_nmse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.19059927663824933,0.17705958326313045,0.17369601478018062,0.18045162489385347,full checkpoint eval,0.5625,0.49,-0.033333333333333305,-0.040000000000000036
a_lossgrid_1p7b_combined_slide2_lenskl,lens_kl,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.19258571949574332,0.2206773923932217,0.12708980600688066,0.18011763929861524,full checkpoint eval,0.5625,0.54,0.01666666666666668,-0.04999999999999999
a_lossgrid_1p7b_combined_slide2_nmse,nmse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.2102754316569905,0.17821799752791828,0.14780005321378384,0.17876449413289755,full checkpoint eval,0.5625,0.5233333333333333,3.700743415417188e-17,-0.009999999999999898
a_lossgrid_1p7b_combined_slide2_anchor_trajectory,nmse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.20099521061779088,0.1960897372708522,0.13791785969032244,0.17833426919298848,full checkpoint eval,0.5625,0.5233333333333333,0.0,-0.010000000000000009
a_lossgrid_1p7b_combined_slide2_jacobian_lens_kl,jacobian_lens_kl,2,complete,12312,24,full checkpoint eval,0.10647927740088757,0.15719073278002751,0.20479415074390217,0.1561547203082724,0.1819128793955476,0.18602551670469636,0.15996639604268947,0.17596826404764446,full checkpoint eval,0.5625,0.5266666666666667,0.003333333333333355,-0.020000000000000018
a_lossgrid_1p7b_combined_slide2_jacobian_lens_kl_anthropic,jacobian_lens_kl,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.20576313363200147,0.16365091092734788,0.15327372291120056,0.17422925582351664,full checkpoint eval,0.5625,0.5233333333333333,3.700743415417188e-17,-0.03999999999999998
